lf,fc,rf,ll,rr,sin_err,cos_err,dist_norm,left_out,right_out
0.8205,0.8097,0.8205,0.9069,0.6721,-0.0056,1.0000,0.8212,0.0000,0.0000
0.8205,0.8097,0.8205,0.9069,0.6721,-0.0056,1.0000,0.8212,0.0000,0.0000
0.8205,0.8097,0.8205,0.9069,0.6721,-0.0056,1.0000,0.8212,0.0000,0.0000
0.8205,0.8097,0.8205,0.9069,0.6721,-0.0056,1.0000,0.8212,0.0000,0.0000
0.8205,0.8097,0.8205,0.9069,0.6721,-0.0056,1.0000,0.8212,0.0000,0.0000
0.8205,0.8097,0.8205,0.9069,0.6721,-0.0056,1.0000,0.8212,0.0000,0.0000
0.8205,0.8097,0.8205,0.9069,0.6721,-0.0056,1.0000,0.8212,0.0000,0.0000
0.8205,0.8097,0.8205,0.9069,0.6721,-0.0056,1.0000,0.8212,0.0000,0.0000
0.8205,0.8097,0.8205,0.9069,0.6721,-0.0056,1.0000,0.8212,0.0000,0.0000
0.8205,0.8097,0.8205,0.9069,0.6721,-0.0056,1.0000,0.8212,0.0000,0.0000
0.8205,0.8097,0.8205,0.9069,0.6721,-0.0056,1.0000,0.8212,0.0000,0.0000
0.8208,0.8100,0.8208,0.9072,0.6907,-0.0180,0.9998,0.7536,0.0000,0.0000
0.8178,0.8070,0.8178,0.9041,0.6908,-0.0180,0.9998,0.7536,0.0000,0.0000
0.8193,0.8085,0.8193,0.9057,0.6908,-0.0180,0.9998,0.7536,0.0000,0.0000
0.8200,0.8092,0.8200,0.9065,0.6908,-0.0180,0.9998,0.7536,0.0000,0.0000
0.8204,0.8096,0.8204,0.9069,0.6908,-0.0180,0.9998,0.7536,0.0000,0.0000
0.8206,0.8098,0.8206,0.9071,0.6908,-0.0180,0.9998,0.7536,0.0000,0.0000
0.8207,0.8099,0.8207,0.9072,0.6909,-0.0180,0.9998,0.7536,0.0000,0.0000
0.8164,0.8053,0.8158,0.9033,0.6909,-0.0235,0.9997,0.7334,0.0000,0.0000
0.8180,0.8069,0.8174,0.9050,0.6909,-0.0235,0.9997,0.7334,0.0000,0.0000
0.8188,0.8077,0.8182,0.9058,0.6909,-0.0235,0.9997,0.7334,0.0000,0.0000
0.8192,0.8082,0.8187,0.9063,0.6909,-0.0235,0.9997,0.7334,0.0000,0.0000
0.8194,0.8084,0.8189,0.9065,0.6909,-0.0235,0.9997,0.7334,0.0000,0.0000
0.8196,0.8085,0.8190,0.9066,0.6909,-0.0235,0.9997,0.7334,0.0000,0.0000
0.8196,0.8085,0.8191,0.9067,0.6909,-0.0235,0.9997,0.7334,0.0000,0.0000
0.8196,0.8086,0.8191,0.9067,0.6909,-0.0235,0.9997,0.7334,0.0000,0.0000
0.8197,0.8086,0.8191,0.9067,0.6909,-0.0235,0.9997,0.7334,0.0000,0.0000
0.8197,0.8086,0.8191,0.9067,0.6909,-0.0235,0.9997,0.7334,0.0000,0.0000
0.8197,0.8086,0.8191,0.9067,0.6909,-0.0235,0.9997,0.7334,0.0000,0.0000
0.8197,0.8086,0.8191,0.9067,0.6909,-0.0235,0.9997,0.7334,0.0000,0.0000
0.8197,0.8086,0.8191,0.9067,0.6909,-0.0235,0.9997,0.7334,0.0000,0.0000
0.8197,0.8086,0.8191,0.9067,0.6909,-0.0235,0.9997,0.7334,0.0000,0.0000
0.8197,0.8086,0.8191,0.9067,0.6909,-0.0235,0.9997,0.7334,0.0000,0.0000
0.8205,0.8097,0.8205,0.9069,0.6721,0.0056,-1.0000,0.8212,0.6504,0.6485
0.8798,0.8684,0.8796,1.0000,0.6674,0.0056,-1.0000,0.8200,0.6511,0.6453
